f: 0
Not get 800, 26, 900, 2, 0.125, 0.6, 25, 818, 32280
Not get 800, 26, 900, 2, 0.125, 0.64, 25, 770, 32360
Not get 800, 26, 900, 2, 0.125, 0.68, 25, 792, 32412
Not get 800, 26, 900, 2, 0.125, 0.72, 25, 739, 30694
Not get 800, 26, 900, 2, 0.125, 0.76, 25, 722, 31345
Not get 800, 26, 900, 2, 0.125, 0.8, 25, 799, 32107
Not get 800, 26, 900, 2, 0.125, 0.84, 25, 766, 31904
Not get 800, 26, 900, 2, 0.125, 0.88, 25, 791, 31749
Not get 800, 26, 900, 2, 0.125, 0.92, 25, 796, 31331
Not get 800, 26, 900, 2, 0.125, 0.96, 25, 726, 30651
Not get 800, 26, 900, 2, 0.1875, 0.04, 25, 754, 33508
Not get 800, 26, 900, 2, 0.1875, 0.08, 25, 798, 33863
Not get 800, 26, 900, 2, 0.1875, 0.12, 25, 835, 34161
Get 800, 25, 900, 2, 0.1875, 0.16, 25, 895, 35052
Not get 800, 26, 900, 2, 0.1875, 0.2, 25, 721, 32292
Not get 800, 26, 900, 2, 0.1875, 0.24, 25, 661, 31457
Not get 800, 26, 900, 2, 0.1875, 0.28, 25, 871, 33849
Not get 800, 26, 900, 2, 0.1875, 0.32, 25, 854, 33507
Not get 800, 26, 900, 2, 0.1875, 0.36, 25, 800, 34028
Not get 800, 26, 900, 2, 0.1875, 0.4, 25, 853, 33798
Not get 800, 26, 900, 2, 0.1875, 0.44, 25, 743, 32603
Not get 800, 26, 900, 2, 0.1875, 0.48, 25, 766, 32939
Not get 800, 26, 900, 2, 0.1875, 0.52, 25, 790, 31790
Not get 800, 26, 900, 2, 0.1875, 0.56, 25, 835, 32655
Not get 800, 26, 900, 2, 0.1875, 0.6, 25, 785, 32523
Not get 800, 26, 900, 2, 0.1875, 0.64, 25, 799, 32767
Not get 800, 26, 900, 2, 0.1875, 0.68, 25, 810, 32162
Not get 800, 26, 900, 2, 0.1875, 0.72, 25, 790, 31761
Not get 800, 26, 900, 2, 0.1875, 0.76, 25, 784, 32436
Not get 800, 26, 900, 2, 0.1875, 0.8, 25, 787, 31930
Not get 800, 26, 900, 2, 0.1875, 0.84, 25, 760, 30977
Not get 800, 26, 900, 2, 0.1875, 0.88, 25, 804, 31785
Not get 800, 26, 900, 2, 0.1875, 0.92, 25, 771, 31729
Not get 800, 26, 900, 2, 0.1875, 0.96, 25, 750, 31437
Not get 800, 26, 900, 2, 0.25, 0.04, 25, 839, 34833
Not get 800, 26, 900, 2, 0.25, 0.08, 25, 852, 35087
Not get 800, 26, 900, 2, 0.25, 0.12, 25, 847, 35115
Not get 800, 26, 900, 2, 0.25, 0.16, 25, 872, 34979
Not get 800, 26, 900, 2, 0.25, 0.2, 25, 835, 34535
Not get 800, 26, 900, 2, 0.25, 0.24, 25, 839, 34026
Not get 800, 26, 900, 2, 0.25, 0.28, 25, 839, 34632
Not get 800, 26, 900, 2, 0.25, 0.32, 25, 837, 33635
Not get 800, 26, 900, 2, 0.25, 0.36, 25, 822, 33837
Not get 800, 26, 900, 2, 0.25, 0.4, 25, 866, 33795
Not get 800, 26, 900, 2, 0.25, 0.44, 25, 800, 33167
Not get 800, 26, 900, 2, 0.25, 0.48, 25, 766, 32423
Not get 800, 26, 900, 2, 0.25, 0.52, 25, 764, 32791
Not get 800, 26, 900, 2, 0.25, 0.56, 25, 815, 33355
Not get 800, 26, 900, 2, 0.25, 0.6, 25, 816, 32614
Not get 800, 26, 900, 2, 0.25, 0.64, 25, 782, 32602
Not get 800, 26, 900, 2, 0.25, 0.68, 25, 787, 32389
Not get 800, 26, 900, 2, 0.25, 0.72, 25, 782, 32877
Not get 800, 26, 900, 2, 0.25, 0.76, 25, 801, 32401
Not get 800, 26, 900, 2, 0.25, 0.8, 25, 735, 31348
Not get 800, 26, 900, 2, 0.25, 0.84, 25, 784, 31595
Not get 800, 26, 900, 2, 0.25, 0.88, 25, 753, 32189
Not get 800, 26, 900, 2, 0.25, 0.92, 25, 751, 31472
Not get 800, 26, 900, 2, 0.25, 0.96, 25, 733, 30967
Not get 800, 26, 900, 2, 0.3125, 0.04, 25, 843, 34694
Not get 800, 26, 900, 2, 0.3125, 0.08, 25, 808, 34339
Not get 800, 26, 900, 2, 0.3125, 0.12, 25, 840, 35168
Not get 800, 26, 900, 2, 0.3125, 0.16, 25, 832, 34370
Not get 800, 26, 900, 2, 0.3125, 0.2, 25, 859, 35059
Not get 800, 26, 900, 2, 0.3125, 0.24, 25, 800, 34155
Get 800, 25, 900, 2, 0.3125, 0.28, 25, 881, 35343
Not get 800, 26, 900, 2, 0.3125, 0.32, 25, 852, 33613
Not get 800, 26, 900, 2, 0.3125, 0.36, 25, 732, 33935
Not get 800, 26, 900, 2, 0.3125, 0.4, 25, 822, 34000
Not get 800, 26, 900, 2, 0.3125, 0.44, 25, 806, 32699
Not get 800, 26, 900, 2, 0.3125, 0.48, 25, 812, 33846
Not get 800, 26, 900, 2, 0.3125, 0.52, 25, 808, 33127
Not get 800, 26, 900, 2, 0.3125, 0.56, 25, 804, 33183
Not get 800, 26, 900, 2, 0.3125, 0.6, 25, 753, 32557
Not get 800, 26, 900, 2, 0.3125, 0.64, 25, 808, 33355
Not get 800, 26, 900, 2, 0.3125, 0.68, 25, 731, 32121
Not get 800, 26, 900, 2, 0.3125, 0.72, 25, 798, 32633
Not get 800, 26, 900, 2, 0.3125, 0.76, 25, 784, 32371
Not get 800, 26, 900, 2, 0.3125, 0.8, 25, 795, 32463
Not get 800, 26, 900, 2, 0.3125, 0.84, 25, 783, 32127
Not get 800, 26, 900, 2, 0.3125, 0.88, 25, 797, 31756
Not get 800, 26, 900, 2, 0.3125, 0.92, 25, 794, 32164
Not get 800, 26, 900, 2, 0.3125, 0.96, 25, 752, 31752
Not get 800, 26, 900, 2, 0.375, 0.04, 25, 831, 35180
Not get 800, 26, 900, 2, 0.375, 0.08, 25, 805, 34563
Not get 800, 26, 900, 2, 0.375, 0.12, 25, 874, 35457
Not get 800, 26, 900, 2, 0.375, 0.16, 25, 807, 35026
Not get 800, 26, 900, 2, 0.375, 0.2, 25, 832, 33723
Not get 800, 26, 900, 2, 0.375, 0.24, 25, 852, 34216
Not get 800, 26, 900, 2, 0.375, 0.28, 25, 817, 33630
Not get 800, 26, 900, 2, 0.375, 0.32, 25, 815, 33999
Not get 800, 26, 900, 2, 0.375, 0.36, 25, 817, 33189
Not get 800, 26, 900, 2, 0.375, 0.4, 25, 867, 33031
Not get 800, 26, 900, 2, 0.375, 0.44, 25, 843, 33623
Not get 800, 26, 900, 2, 0.375, 0.48, 25, 819, 33157
Not get 800, 26, 900, 2, 0.375, 0.52, 25, 831, 33246
Not get 800, 26, 900, 2, 0.375, 0.56, 25, 833, 33735
Not get 800, 26, 900, 2, 0.375, 0.6, 25, 805, 32548
Not get 800, 26, 900, 2, 0.375, 0.64, 25, 807, 33326
Not get 800, 26, 900, 2, 0.375, 0.68, 25, 758, 32164
Not get 800, 26, 900, 2, 0.375, 0.72, 25, 796, 31967
Not get 800, 26, 900, 2, 0.375, 0.76, 25, 788, 32315
Not get 800, 26, 900, 2, 0.375, 0.8, 25, 782, 32619
Not get 800, 26, 900, 2, 0.375, 0.84, 25, 782, 31781
Not get 800, 26, 900, 2, 0.375, 0.88, 25, 786, 31965
Not get 800, 26, 900, 2, 0.375, 0.92, 25, 738, 31174
Not get 800, 26, 900, 2, 0.375, 0.96, 25, 740, 30971
Get 800, 22, 900, 2, 0.4375, 0.04, 25, 896, 35955
Not get 800, 26, 900, 2, 0.4375, 0.08, 25, 828, 34532
Not get 800, 26, 900, 2, 0.4375, 0.12, 25, 815, 34701
Not get 800, 26, 900, 2, 0.4375, 0.16, 25, 794, 33633
Get 800, 23, 900, 2, 0.4375, 0.2, 25, 906, 35117
Not get 800, 26, 900, 2, 0.4375, 0.24, 25, 851, 34172
Not get 800, 26, 900, 2, 0.4375, 0.28, 25, 845, 34155
Not get 800, 26, 900, 2, 0.4375, 0.32, 25, 869, 34691
Not get 800, 26, 900, 2, 0.4375, 0.36, 25, 863, 34823
Not get 800, 26, 900, 2, 0.4375, 0.4, 25, 838, 33253
Not get 800, 26, 900, 2, 0.4375, 0.44, 25, 731, 32465
Not get 800, 26, 900, 2, 0.4375, 0.48, 25, 836, 33770
Not get 800, 26, 900, 2, 0.4375, 0.52, 25, 783, 32297
Not get 800, 26, 900, 2, 0.4375, 0.56, 25, 803, 33152
Not get 800, 26, 900, 2, 0.4375, 0.6, 25, 786, 32840
Not get 800, 26, 900, 2, 0.4375, 0.64, 25, 806, 33344
Not get 800, 26, 900, 2, 0.4375, 0.68, 25, 827, 32637
Not get 800, 26, 900, 2, 0.4375, 0.72, 25, 758, 32066
Not get 800, 26, 900, 2, 0.4375, 0.76, 25, 786, 32196
Not get 800, 26, 900, 2, 0.4375, 0.8, 25, 785, 32184
Not get 800, 26, 900, 2, 0.4375, 0.84, 25, 792, 31155
Not get 800, 26, 900, 2, 0.4375, 0.88, 25, 791, 31442
Not get 800, 26, 900, 2, 0.4375, 0.92, 25, 780, 31684
Not get 800, 26, 900, 2, 0.4375, 0.96, 25, 771, 31561
Not get 800, 26, 900, 2, 0.5, 0.04, 25, 824, 34525
Not get 800, 26, 900, 2, 0.5, 0.08, 25, 848, 35160
Not get 800, 26, 900, 2, 0.5, 0.12, 25, 814, 34214
Not get 800, 26, 900, 2, 0.5, 0.16, 25, 872, 35115
Not get 800, 26, 900, 2, 0.5, 0.2, 25, 870, 34877
Not get 800, 26, 900, 2, 0.5, 0.24, 25, 588, 30756
Get 800, 24, 900, 2, 0.5, 0.28, 25, 887, 35190
Not get 800, 26, 900, 2, 0.5, 0.32, 25, 822, 34328
Not get 800, 26, 900, 2, 0.5, 0.36, 25, 829, 34183
Not get 800, 26, 900, 2, 0.5, 0.4, 25, 795, 33953
Not get 800, 26, 900, 2, 0.5, 0.44, 25, 759, 32993
Not get 800, 26, 900, 2, 0.5, 0.48, 25, 779, 32053
Not get 800, 26, 900, 2, 0.5, 0.52, 25, 853, 33166
Not get 800, 26, 900, 2, 0.5, 0.56, 25, 769, 32333
Not get 800, 26, 900, 2, 0.5, 0.6, 25, 775, 32628
Not get 800, 26, 900, 2, 0.5, 0.64, 25, 816, 33120
Not get 800, 26, 900, 2, 0.5, 0.68, 25, 744, 31967
Not get 800, 26, 900, 2, 0.5, 0.72, 25, 767, 31981
Not get 800, 26, 900, 2, 0.5, 0.76, 25, 770, 31750
Not get 800, 26, 900, 2, 0.5, 0.8, 25, 768, 32140
Not get 800, 26, 900, 2, 0.5, 0.84, 25, 788, 31435
Not get 800, 26, 900, 2, 0.5, 0.88, 25, 730, 31543
Not get 800, 26, 900, 2, 0.5, 0.92, 25, 815, 30951
Not get 800, 26, 900, 2, 0.5, 0.96, 25, 755, 31238
Not get 800, 26, 900, 2, 0.5625, 0.04, 25, 819, 34875
Not get 800, 26, 900, 2, 0.5625, 0.08, 25, 832, 35018
Not get 800, 26, 900, 2, 0.5625, 0.12, 25, 842, 34919
Not get 800, 26, 900, 2, 0.5625, 0.16, 25, 746, 32415
Not get 800, 26, 900, 2, 0.5625, 0.2, 25, 801, 34043
Not get 800, 26, 900, 2, 0.5625, 0.24, 25, 715, 32355
Not get 800, 26, 900, 2, 0.5625, 0.28, 25, 839, 34112
Not get 800, 26, 900, 2, 0.5625, 0.32, 25, 846, 34764
Not get 800, 26, 900, 2, 0.5625, 0.36, 25, 805, 33469
Not get 800, 26, 900, 2, 0.5625, 0.4, 25, 836, 34258
Not get 800, 26, 900, 2, 0.5625, 0.44, 25, 844, 33901
Not get 800, 26, 900, 2, 0.5625, 0.48, 25, 796, 32732
Not get 800, 26, 900, 2, 0.5625, 0.52, 25, 822, 32355
Not get 800, 26, 900, 2, 0.5625, 0.56, 25, 787, 33447
Not get 800, 26, 900, 2, 0.5625, 0.6, 25, 737, 32027
Not get 800, 26, 900, 2, 0.5625, 0.64, 25, 840, 32542
Not get 800, 26, 900, 2, 0.5625, 0.68, 25, 784, 30897
Not get 800, 26, 900, 2, 0.5625, 0.72, 25, 757, 32094
Not get 800, 26, 900, 2, 0.5625, 0.76, 25, 789, 32239
Not get 800, 26, 900, 2, 0.5625, 0.8, 25, 773, 32838
Not get 800, 26, 900, 2, 0.5625, 0.84, 25, 763, 31674
Not get 800, 26, 900, 2, 0.5625, 0.88, 25, 798, 31717
Not get 800, 26, 900, 2, 0.5625, 0.92, 25, 767, 31770
Not get 800, 26, 900, 2, 0.5625, 0.96, 25, 761, 31381
Not get 800, 26, 900, 2, 0.625, 0.04, 25, 874, 35461
Not get 800, 26, 900, 2, 0.625, 0.08, 25, 772, 32742
Not get 800, 26, 900, 2, 0.625, 0.12, 25, 828, 34618
Not get 800, 26, 900, 2, 0.625, 0.16, 25, 855, 35190
Not get 800, 26, 900, 2, 0.625, 0.2, 25, 810, 33786
Not get 800, 26, 900, 2, 0.625, 0.24, 25, 875, 33962
Not get 800, 26, 900, 2, 0.625, 0.28, 25, 833, 33937
Not get 800, 26, 900, 2, 0.625, 0.32, 25, 870, 34614
Not get 800, 26, 900, 2, 0.625, 0.36, 25, 784, 33653
Not get 800, 26, 900, 2, 0.625, 0.4, 25, 811, 33898
Not get 800, 26, 900, 2, 0.625, 0.44, 25, 797, 32240
Not get 800, 26, 900, 2, 0.625, 0.48, 25, 832, 34183
Not get 800, 26, 900, 2, 0.625, 0.52, 25, 817, 33575
Not get 800, 26, 900, 2, 0.625, 0.56, 25, 777, 32446
Not get 800, 26, 900, 2, 0.625, 0.6, 25, 806, 32684
Not get 800, 26, 900, 2, 0.625, 0.64, 25, 759, 31382
Not get 800, 26, 900, 2, 0.625, 0.68, 25, 741, 32559
Not get 800, 26, 900, 2, 0.625, 0.72, 25, 787, 32186
Not get 800, 26, 900, 2, 0.625, 0.76, 25, 776, 31774
Not get 800, 26, 900, 2, 0.625, 0.8, 25, 776, 32053
Not get 800, 26, 900, 2, 0.625, 0.84, 25, 767, 31104
Not get 800, 26, 900, 2, 0.625, 0.88, 25, 761, 31907
Not get 800, 26, 900, 2, 0.625, 0.92, 25, 719, 31365
Not get 800, 26, 900, 2, 0.625, 0.96, 25, 744, 31235
Not get 800, 26, 900, 2, 0.6875, 0.04, 25, 840, 34935
Not get 800, 26, 900, 2, 0.6875, 0.08, 25, 859, 35949
Not get 800, 26, 900, 2, 0.6875, 0.12, 25, 799, 33563
Not get 800, 26, 900, 2, 0.6875, 0.16, 25, 849, 35631
Not get 800, 26, 900, 2, 0.6875, 0.2, 25, 836, 34269
Not get 800, 26, 900, 2, 0.6875, 0.24, 25, 822, 35521
Not get 800, 26, 900, 2, 0.6875, 0.28, 25, 817, 33320
Not get 800, 26, 900, 2, 0.6875, 0.32, 25, 832, 34624
Not get 800, 26, 900, 2, 0.6875, 0.36, 25, 756, 33520
Not get 800, 26, 900, 2, 0.6875, 0.4, 25, 808, 33032
Not get 800, 26, 900, 2, 0.6875, 0.44, 25, 835, 33299
Not get 800, 26, 900, 2, 0.6875, 0.48, 25, 764, 32238
Not get 800, 26, 900, 2, 0.6875, 0.52, 25, 750, 33231
Not get 800, 26, 900, 2, 0.6875, 0.56, 25, 821, 33133
Not get 800, 26, 900, 2, 0.6875, 0.6, 25, 792, 33233
Not get 800, 26, 900, 2, 0.6875, 0.64, 25, 808, 32888
Not get 800, 26, 900, 2, 0.6875, 0.68, 25, 713, 31580
Not get 800, 26, 900, 2, 0.6875, 0.72, 25, 787, 31136
Not get 800, 26, 900, 2, 0.6875, 0.76, 25, 786, 30844
Not get 800, 26, 900, 2, 0.6875, 0.8, 25, 750, 31885
Not get 800, 26, 900, 2, 0.6875, 0.84, 25, 748, 31552
Not get 800, 26, 900, 2, 0.6875, 0.88, 25, 764, 31764
Not get 800, 26, 900, 2, 0.6875, 0.92, 25, 781, 31633
Not get 800, 26, 900, 2, 0.6875, 0.96, 25, 785, 31236
Not get 800, 26, 900, 2, 0.75, 0.04, 25, 841, 34693
Not get 800, 26, 900, 2, 0.75, 0.08, 25, 824, 35284
Get 800, 22, 900, 2, 0.75, 0.12, 25, 904, 35999
Not get 800, 26, 900, 2, 0.75, 0.16, 25, 847, 34323
Get 800, 25, 900, 2, 0.75, 0.2, 25, 881, 34904
Not get 800, 26, 900, 2, 0.75, 0.24, 25, 824, 34398
Not get 800, 26, 900, 2, 0.75, 0.28, 25, 827, 34006
Not get 800, 26, 900, 2, 0.75, 0.32, 25, 825, 33708
Not get 800, 26, 900, 2, 0.75, 0.36, 25, 834, 34088
Not get 800, 26, 900, 2, 0.75, 0.4, 25, 798, 32761
Not get 800, 26, 900, 2, 0.75, 0.44, 25, 739, 33158
Not get 800, 26, 900, 2, 0.75, 0.48, 25, 829, 34102
Not get 800, 26, 900, 2, 0.75, 0.52, 25, 817, 32426
Not get 800, 26, 900, 2, 0.75, 0.56, 25, 813, 32331
Not get 800, 26, 900, 2, 0.75, 0.6, 25, 739, 32498
Not get 800, 26, 900, 2, 0.75, 0.64, 25, 740, 32405
Not get 800, 26, 900, 2, 0.75, 0.68, 25, 790, 32264
Not get 800, 26, 900, 2, 0.75, 0.72, 25, 760, 32128
Not get 800, 26, 900, 2, 0.75, 0.76, 25, 783, 32003
Not get 800, 26, 900, 2, 0.75, 0.8, 25, 797, 32607
Not get 800, 26, 900, 2, 0.75, 0.84, 25, 771, 31951
Not get 800, 26, 900, 2, 0.75, 0.88, 25, 731, 30918
Not get 800, 26, 900, 2, 0.75, 0.92, 25, 712, 31400
Not get 800, 26, 900, 2, 0.75, 0.96, 25, 760, 31280
Not get 800, 26, 900, 2, 0.8125, 0.04, 25, 851, 35969
Not get 800, 26, 900, 2, 0.8125, 0.08, 25, 705, 34012
Not get 800, 26, 900, 2, 0.8125, 0.12, 25, 852, 35988
Not get 800, 26, 900, 2, 0.8125, 0.16, 25, 846, 35246
Not get 800, 26, 900, 2, 0.8125, 0.2, 25, 821, 33643
Not get 800, 26, 900, 2, 0.8125, 0.24, 25, 848, 33410
Not get 800, 26, 900, 2, 0.8125, 0.28, 25, 801, 33613
Not get 800, 26, 900, 2, 0.8125, 0.32, 25, 834, 34689
Not get 800, 26, 900, 2, 0.8125, 0.36, 25, 811, 33358
Not get 800, 26, 900, 2, 0.8125, 0.4, 25, 779, 33733
Not get 800, 26, 900, 2, 0.8125, 0.44, 25, 844, 32740
Not get 800, 26, 900, 2, 0.8125, 0.48, 25, 821, 33887
Not get 800, 26, 900, 2, 0.8125, 0.52, 25, 805, 33638
Not get 800, 26, 900, 2, 0.8125, 0.56, 25, 780, 32205
Not get 800, 26, 900, 2, 0.8125, 0.6, 25, 780, 32393
Not get 800, 26, 900, 2, 0.8125, 0.64, 25, 801, 31974
Not get 800, 26, 900, 2, 0.8125, 0.68, 25, 769, 32685
Not get 800, 26, 900, 2, 0.8125, 0.72, 25, 762, 31748
Not get 800, 26, 900, 2, 0.8125, 0.76, 25, 807, 32732
Not get 800, 26, 900, 2, 0.8125, 0.8, 25, 789, 32711
Not get 800, 26, 900, 2, 0.8125, 0.84, 25, 789, 30752
Not get 800, 26, 900, 2, 0.8125, 0.88, 25, 730, 31675
Not get 800, 26, 900, 2, 0.8125, 0.92, 25, 694, 31010
Not get 800, 26, 900, 2, 0.8125, 0.96, 25, 781, 31303
Not get 800, 26, 900, 2, 0.875, 0.04, 25, 874, 35675
Not get 800, 26, 900, 2, 0.875, 0.08, 25, 860, 35708
Not get 800, 26, 900, 2, 0.875, 0.12, 25, 877, 36051
Not get 800, 26, 900, 2, 0.875, 0.16, 25, 778, 34562
Not get 800, 26, 900, 2, 0.875, 0.2, 25, 836, 33787
Not get 800, 26, 900, 2, 0.875, 0.24, 25, 799, 34161
Not get 800, 26, 900, 2, 0.875, 0.28, 25, 868, 34751
Not get 800, 26, 900, 2, 0.875, 0.32, 25, 870, 35270
Not get 800, 26, 900, 2, 0.875, 0.36, 25, 845, 33900
Not get 800, 26, 900, 2, 0.875, 0.4, 25, 760, 33238
Not get 800, 26, 900, 2, 0.875, 0.44, 25, 840, 32970
Not get 800, 26, 900, 2, 0.875, 0.48, 25, 764, 33801
Not get 800, 26, 900, 2, 0.875, 0.52, 25, 807, 33476
Not get 800, 26, 900, 2, 0.875, 0.56, 25, 798, 32796
Not get 800, 26, 900, 2, 0.875, 0.6, 25, 805, 32748
Not get 800, 26, 900, 2, 0.875, 0.64, 25, 782, 31264
Not get 800, 26, 900, 2, 0.875, 0.68, 25, 780, 32588
Not get 800, 26, 900, 2, 0.875, 0.72, 25, 750, 30631
Not get 800, 26, 900, 2, 0.875, 0.76, 25, 789, 31461
Not get 800, 26, 900, 2, 0.875, 0.8, 25, 739, 31169
Not get 800, 26, 900, 2, 0.875, 0.84, 25, 758, 31509
Not get 800, 26, 900, 2, 0.875, 0.88, 25, 777, 32018
Not get 800, 26, 900, 2, 0.875, 0.92, 25, 741, 31119
Not get 800, 26, 900, 2, 0.875, 0.96, 25, 721, 31055
Not get 800, 26, 900, 2, 0.9375, 0.04, 25, 756, 33672
Not get 800, 26, 900, 2, 0.9375, 0.08, 25, 833, 38382
Not get 800, 26, 900, 2, 0.9375, 0.12, 25, 850, 36989
Not get 800, 26, 900, 2, 0.9375, 0.16, 25, 840, 35592
Get 800, 24, 900, 2, 0.9375, 0.2, 25, 868, 34708
Not get 800, 26, 900, 2, 0.9375, 0.24, 25, 833, 34433
Not get 800, 26, 900, 2, 0.9375, 0.28, 25, 834, 34419
Not get 800, 26, 900, 2, 0.9375, 0.32, 25, 807, 34297
Not get 800, 26, 900, 2, 0.9375, 0.36, 25, 840, 33665
Not get 800, 26, 900, 2, 0.9375, 0.4, 25, 837, 34544
Not get 800, 26, 900, 2, 0.9375, 0.44, 25, 811, 33355
Not get 800, 26, 900, 2, 0.9375, 0.48, 25, 834, 33547
Not get 800, 26, 900, 2, 0.9375, 0.52, 25, 829, 32525
Not get 800, 26, 900, 2, 0.9375, 0.56, 25, 806, 33535
Not get 800, 26, 900, 2, 0.9375, 0.6, 25, 786, 32902
Not get 800, 26, 900, 2, 0.9375, 0.64, 25, 775, 32065
Not get 800, 26, 900, 2, 0.9375, 0.68, 25, 835, 32379
Not get 800, 26, 900, 2, 0.9375, 0.72, 25, 778, 31857
Not get 800, 26, 900, 2, 0.9375, 0.76, 25, 804, 32283
Not get 800, 26, 900, 2, 0.9375, 0.8, 25, 756, 31413
Not get 800, 26, 900, 2, 0.9375, 0.84, 25, 755, 31626
Not get 800, 26, 900, 2, 0.9375, 0.88, 25, 758, 31208
Not get 800, 26, 900, 2, 0.9375, 0.92, 25, 754, 31487
Not get 800, 26, 900, 2, 0.9375, 0.96, 25, 750, 31559
